LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
1035                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184625              F 
1548                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184625              F 
2717                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184625              F 
275                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184625              F 
279                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184625              F 
109                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 527875              184625              F 
1175                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 527875              184625              F 
1867                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 527875              184625              F 
2061                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 527875              184625              F 
2080                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 527875              184625              F 
2273                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 527875              184625              F 
278                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 527875              184625              F 
349                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 527875              184625              F 
63                              1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 527875              184625              F 
940                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 527875              184625              F 
1012                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1021                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1028                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1073                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1107                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1145                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1232                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1334                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1350                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1372                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1387                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1428                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1457                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
158                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1610                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1634                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1659                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
